  5  4       -38
 STEP TIME TOTE TOTK ENER
 EP-K TEMP BOND ANGL DIHE
 IMPR VDW  ELEC HBON HARM
 DMC  RGY 
          0.0000       1393.0140      -6479.5649          0.0000          0.0000
          0.0000          0.0000
              53          0.0530    -229564.7982       2042.1970    -231606.9953
    -233649.1923        745.2050       1360.4778          0.0000          0.0000
          0.0000       1300.0099      -6466.0961          0.0000          0.0000
          0.0000          0.0000
              54          0.0540    -229563.5636       2085.1809    -231648.7445
    -233733.9254        760.8092       1344.7914          0.0000          0.0000
          0.0000       1253.4183      -6445.7711          0.0000          0.0000
          0.0000          0.0000
              55          0.0550    -229557.9975       2078.9359    -231636.9335
    -233715.8694        758.5381       1334.1034          0.0000          0.0000
          0.0000       1259.9250      -6429.9815          0.0000          0.0000
          0.0000          0.0000
              56          0.0560    -229549.4346       2070.7473    -231620.1819
    -233690.9293        755.6627       1335.7528          0.0000          0.0000
          0.0000       1271.2435      -6426.3626          0.0000          0.0000
          0.0000          0.0000
              57          0.0570    -229541.0932       2078.7172    -231619.8104
    -233698.5276        758.5126       1346.8449          0.0000          0.0000
          0.0000       1266.8379      -6432.8011          0.0000          0.0000
          0.0000          0.0000
              58          0.0580    -229545.0587       2067.8189    -231612.8776
    -233680.6965        754.5092       1357.3988          0.0000          0.0000
          0.0000       1269.3745      -6439.0836          0.0000          0.0000
          0.0000          0.0000
              59          0.0590    -229535.2227       1976.6051    -231511.8277
    -233488.4328        721.2343       1357.8842          0.0000          0.0000
          0.0000       1366.2034      -6435.4692          0.0000          0.0000
          0.0000          0.0000
              60          0.0600    -229532.0858       1969.1501    -231501.2360
    -233470.3861        718.3830       1344.7005          0.0000          0.0000
          0.0000       1373.4961      -6418.9628          0.0000          0.0000
          0.0000          0.0000
              61          0.0610    -229539.9221       2034.0325    -231573.9546
    -233607.9871        742.1103       1328.1646          0.0000          0.0000
          0.0000       1297.3068      -6398.9130          0.0000          0.0000
          0.0000          0.0000
              62          0.0620    -229536.5491       2033.2882    -231569.8372
    -233603.1254        741.8527       1321.8536          0.0000          0.0000
          0.0000       1298.1514      -6389.3043          0.0000          0.0000
          0.0000          0.0000
              63          0.0630    -229534.7903       2006.0971    -231540.8873
    -233546.9844        731.8332       1328.9796          0.0000          0.0000
          0.0000       1323.9841      -6393.3124          0.0000          0.0000
          0.0000          0.0000
              64          0.0640    -229537.3689       1963.2515    -231500.6204
    -233463.8719        716.2846       1344.5609          0.0000          0.0000
          0.0000       1360.4676      -6405.1032          0.0000          0.0000
          0.0000          0.0000
              65          0.0650    -229533.2220       1949.4194    -231482.6414
    -233432.0608        711.2407       1352.4287          0.0000          0.0000
          0.0000       1375.4338      -6409.8870          0.0000          0.0000
          0.0000          0.0000
              66          0.0660    -229530.3311       1950.4266    -231480.7577
    -233431.1843        711.4783       1344.0843          0.0000          0.0000
          0.0000       1374.5317      -6398.6578          0.0000          0.0000
          0.0000          0.0000
              67          0.0670    -229529.5035       1978.5867    -231508.0903
    -233486.6770        721.7941       1326.8484          0.0000          0.0000
          0.0000       1343.8084      -6377.9864          0.0000          0.0000
          0.0000          0.0000
              68          0.0680    -229514.9417       2017.7715    -231532.7133
    -233550.4848        736.1902       1313.3132          0.0000          0.0000
          0.0000       1316.3276      -6361.6080          0.0000          0.0000
          0.0000          0.0000
              69          0.0690    -229499.7281       2040.0374    -231539.7655
    -233579.8029        744.2816       1314.5002          0.0000          0.0000
          0.0000       1305.8078      -6359.3891          0.0000          0.0000
          0.0000          0.0000
              70          0.0700    -229479.8175       2057.9227    -231537.7402
    -233595.6628        750.8138       1327.9291          0.0000          0.0000
          0.0000       1304.0617      -6369.1437          0.0000          0.0000
          0.0000          0.0000
              71          0.0710    -229465.9100       2067.5438    -231533.4538
    -233600.9976        754.4046       1340.2901          0.0000          0.0000
          0.0000       1304.3740      -6377.6617          0.0000          0.0000
          0.0000          0.0000
              72          0.0720    -229457.4984       2072.4401    -231529.9385
    -233602.3786        756.1153       1341.3413          0.0000          0.0000
          0.0000       1303.6685      -6374.6468          0.0000          0.0000
          0.0000          0.0000
              73          0.0730    -229453.1696       2070.9589    -231524.1285
    -233595.0874        755.5261       1330.3518          0.0000          0.0000
          0.0000       1304.6744      -6359.0381          0.0000          0.0000
          0.0000          0.0000
              74          0.0740    -229444.4273       2058.5677    -231502.9951
